no,ci_rotsf.,ci_rsf.,ci_cox.,ci_gbm
1,0.866666667,0.846376812,0.833333333,0.842028986
2,0.832095097,0.833580981,0.759286776,0.812778603
3,0.883889695,0.867924528,0.854862119,0.888243832
4,0.836986301,0.860273973,0.830136986,0.860273973
5,0.781183932,0.779069767,0.764270613,0.761099366
6,0.760319574,0.754993342,0.7563249,0.748335553
7,0.793032787,0.818647541,0.788934426,0.780737705
8,0.835400225,0.822998873,0.804960541,0.804960541
9,0.806329114,0.825316456,0.793670886,0.798734177
10,0.878359264,0.868458274,0.864214993,0.852899576
11,0.86779661,0.853107345,0.844067797,0.831638418
12,0.798530955,0.81636936,0.791185729,0.761804827
13,0.850837139,0.853881279,0.859969559,0.820395738
14,0.865621501,0.862262038,0.835386338,0.843225084
15,0.769025367,0.807743658,0.785046729,0.768716578
16,0.795530726,0.774301676,0.727374302,0.802234637
17,0.788908766,0.776386404,0.808586762,0.771019678
18,0.863829787,0.870921986,0.858156028,0.808510638
19,0.864583333,0.852864583,0.860677083,0.8359375
20,0.835674157,0.818820225,0.793539326,0.78511236
21,0.896,0.882666667,0.882666667,0.864
22,0.863013699,0.856787049,0.809464508,0.798256538
23,0.854383358,0.841010401,0.808320951,0.817236256
24,0.885126965,0.84764208,0.794437727,0.865779927
25,0.906295754,0.875549048,0.901903367,0.856515373
26,0.804475854,0.804475854,0.797408716,0.762073027
27,0.803548796,0.826362484,0.816223067,0.809885932
28,0.851968504,0.85511811,0.845669291,0.844094488
29,0.840286055,0.868891538,0.859356377,0.802145411
30,0.854523227,0.826405868,0.855745721,0.839853301
31,0.853793103,0.857931034,0.816551724,0.793103448
32,0.856225931,0.84338896,0.815147625,0.835686778
33,0.833333333,0.825699746,0.806615776,0.801526718
34,0.936708861,0.92721519,0.905063291,0.893987342
35,0.853211009,0.819571865,0.894495413,0.872894334
36,0.871252205,0.867724868,0.834215168,0.84303351
37,0.823795181,0.810240964,0.789156627,0.796686747
38,0.853900709,0.809929078,0.730496454,0.807092199
39,0.838879159,0.828371278,0.814360771,0.831873905
40,0.852287582,0.847058824,0.85620915,0.843137255
41,0.853437095,0.827496757,0.86770428,0.818417639
42,0.776053215,0.777161863,0.772727273,0.777161863
43,0.771312585,0.795669824,0.784844384,0.741542625
44,0.834666667,0.825333333,0.797333333,0.824
45,0.853864734,0.845410628,0.857487923,0.823671498
46,0.805269187,0.792668958,0.836197022,0.751431844
47,0.862453532,0.837670384,0.846344486,0.833952912
48,0.848013817,0.86701209,0.882556131,0.839378238
49,0.835958005,0.841207349,0.842519685,0.849081365
50,0.794505495,0.798901099,0.782417582,0.793406593
51,0.811059908,0.78187404,0.814132104,0.797235023
52,0.846296296,0.848148148,0.801851852,0.805555556
53,0.868171021,0.839667458,0.781472684,0.834916865
54,0.874051593,0.863429439,0.851289833,0.852807284
55,0.825864277,0.813060179,0.788732394,0.781049936
56,0.807397959,0.798469388,0.799744898,0.776785714
57,0.819277108,0.864457831,0.870481928,0.834337349
58,0.80104712,0.819371728,0.819371728,0.802356021
59,0.891514501,0.901181525,0.902255639,0.851772288
60,0.783610755,0.81049936,0.801536492,0.752880922
61,0.894598155,0.862977602,0.845849802,0.859025033
62,0.82689747,0.817576565,0.76298269,0.79494008
63,0.790617849,0.781464531,0.755148741,0.763157895
64,0.898704358,0.890459364,0.895170789,0.869257951
65,0.840720222,0.840720222,0.811634349,0.814404432
66,0.840466926,0.850843061,0.831387808,0.815823606
67,0.862110312,0.878896882,0.798561151,0.8441247
68,0.844808743,0.836065574,0.827322404,0.862295082
69,0.826086957,0.856389987,0.836627141,0.789196311
70,0.839142091,0.828418231,0.820375335,0.839142091
71,0.886649874,0.886649874,0.837531486,0.863979849
72,0.793103448,0.810344828,0.788505747,0.791954023
73,0.91509434,0.897798742,0.864779874,0.838050314
74,0.863582444,0.848161329,0.848161329,0.851720047
75,0.876582278,0.860759494,0.841772152,0.833860759
76,0.795895097,0.785632839,0.777651083,0.784492588
77,0.85286783,0.841645885,0.850374065,0.836658354
78,0.800227015,0.824063564,0.790011351,0.788876277
79,0.84375,0.80859375,0.848958333,0.81640625
80,0.875586854,0.873239437,0.830985915,0.870892019
81,0.776456599,0.768133175,0.776456599,0.75952381
82,0.849474912,0.831971995,0.820303384,0.82613769
83,0.820023838,0.804529201,0.805721097,0.794994041
84,0.860429448,0.857361963,0.849693252,0.80030722
85,0.810017271,0.83074266,0.84283247,0.801381693
86,0.824827586,0.817931034,0.816551724,0.80137931
87,0.830230011,0.812705367,0.82475356,0.819277108
88,0.825462012,0.834702259,0.808008214,0.815195072
89,0.792978208,0.809927361,0.737288136,0.786924939
90,0.881401617,0.876010782,0.846361186,0.845013477
91,0.916532905,0.91011236,0.83788122,0.881219904
92,0.817655572,0.816208394,0.79739508,0.767004342
93,0.900243309,0.890510949,0.874695864,0.905109489
94,0.805797101,0.865217391,0.823188406,0.817391304
95,0.858477971,0.847797063,0.851802403,0.843791722
96,0.827330508,0.844279661,0.838983051,0.808262712
97,0.909413854,0.904085258,0.861456483,0.888099467
98,0.792592593,0.824691358,0.744444444,0.797530864
99,0.802224969,0.839307787,0.844252163,0.799752781
100,0.839732888,0.841402337,0.841402337,0.816360601
